	date	likes	retweets	text
145	Sat Feb 10 14:02:54 +0000 2018	64967	13845	Jobless claims have dropped to a 45 year low!
146	Fri Feb 09 13:59:13 +0000 2018	89645	21451	Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election, and beyo… https://t.co/WgvQYGEaMu
147	Fri Feb 09 13:47:28 +0000 2018	110634	28192	Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order… https://t.co/7dfsJYWjRY
148	Fri Feb 09 13:39:15 +0000 2018	130610	27270	Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them e… https://t.co/9MtCabhzj8
149	Fri Feb 09 03:22:53 +0000 2018	127756	39968	Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did no… https://t.co/N5SoaLnllm
150	Thu Feb 08 23:26:22 +0000 2018	97810	24160	Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X
151	Thu Feb 08 20:10:58 +0000 2018	110347	30820	As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the l… https://t.co/wGUIaD1JX6
152	Thu Feb 08 18:44:00 +0000 2018	80016	13630	I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea, China and the Middle East.
153	Thu Feb 08 17:13:13 +0000 2018	107257	29491	Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TR… https://t.co/q8ib233y1M
154	Thu Feb 08 11:08:39 +0000 2018	106318	17875	Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and po… https://t.co/bEReTLNLo4
155	Wed Feb 07 22:36:15 +0000 2018	109419	23224	The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secret… https://t.co/VRkKsNDZGC
156	Wed Feb 07 22:13:16 +0000 2018	70588	13351	Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean peopl… https://t.co/gGaZUnZBMa
157	Wed Feb 07 18:01:05 +0000 2018	65505	12816	Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that y… https://t.co/NL6cIfHZgN
158	Wed Feb 07 16:10:00 +0000 2018	137901	39792	NEW FBI TEXTS ARE BOMBSHELLS!
159	Wed Feb 07 14:59:49 +0000 2018	112605	21994	In the “old days,” when good news was reported, the Stock Market would go up. Today, when good news is reported, th… https://t.co/mW5vEWhZYY
160	Wed Feb 07 03:05:45 +0000 2018	167552	31714	Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement, along with @NASA’s c… https://t.co/MaQocjQKcI
161	Wed Feb 07 00:48:01 +0000 2018	181628	33049	HAPPY BIRTHDAY to our 40th President of the United States of America, Ronald Reagan! https://t.co/JtEglBhm4c
162	Tue Feb 06 22:45:50 +0000 2018	76096	18406	Today, we heard the experiences of law enforcement professionals and community leaders working to combat the threat… https://t.co/BAHG9Ajkio
163	Tue Feb 06 16:05:42 +0000 2018	92740	25721	We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs… https://t.co/5SzmbuLXuY
164	Tue Feb 06 16:00:43 +0000 2018	89708	23673	Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA, fully secures the… https://t.co/OD93mZebu7
165	Tue Feb 06 13:37:00 +0000 2018	104672	20960	My prayers and best wishes are with the family of Edwin Jackson, a wonderful young man whose life was so senselessly taken. @Colts
166	Tue Feb 06 13:32:57 +0000 2018	142857	36152	So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of m… https://t.co/r8vqtb4Tjb
167	Mon Feb 05 20:42:01 +0000 2018	105947	22913	Thanks to the historic TAX CUTS that I signed into law, your paychecks are going way UP, your taxes are going way D… https://t.co/DKVuox1qa6
168	Mon Feb 05 15:08:51 +0000 2018	133561	35801	Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Her… https://t.co/p7egMdnqQs
