	Unnamed: 0	date	likes	retweets	text	filtered_text	polarity	subjectivity
473	473	Thu Jan 18 01:05:46 +0000 2018	111046	22071	Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD N… https://t.co/XtmYEpRDAu	Despite some very corrupt and dishonest media coverage there are many great reporters I respect and lots of GOOD N 	0.21000000000000002	0.67
474	474	Thu Jan 18 01:00:05 +0000 2018	110824	40602	"And the FAKE NEWS winners are...
https://t.co/59G6x2f7fD"	And the FAKE NEWS winners are	-0.5	1.0
475	475	Wed Jan 17 23:36:44 +0000 2018	67492	15387	Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOL… https://t.co/NzP72Zarmr	Main Street is BACK Strongest Holiday Sales bump since the Great Recession  beating forecasts by BILLIONS OF DOL 	0.32222222222222224	0.3611111111111111
476	476	Wed Jan 17 23:32:58 +0000 2018	98212	24348	During the campaign, I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I… https://t.co/OQ1fA6odh7	During the campaign I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country I 	0.4	0.375
477	477	Wed Jan 17 23:28:30 +0000 2018	91424	24057	I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United S… https://t.co/aWutB2fro3	I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United S 	0.0	0.5
478	478	Wed Jan 17 23:19:02 +0000 2018	74447	15328	Today, we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our f… https://t.co/svBhsLy1By	Today we witnessed an incredible moment in history  the presentation of Congress highest civilian honor to our f 	0.9	0.9
479	479	Wed Jan 17 13:04:46 +0000 2018	53918	6639	Eric Trump on @foxandfriends  now!	Eric Trump on foxandfriends  now	0.0	0.0
480	480	Tue Jan 16 23:20:10 +0000 2018	80877	18735	....we need to keep America safe, including moving away from a random chain migration and lottery system, to one th… https://t.co/wMQB8vJ3Cs	we need to keep America safe including moving away from a random chain migration and lottery system to one th 	0.0	0.5
481	481	Tue Jan 16 23:19:39 +0000 2018	98949	25391	New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-b… https://t.co/9F2yHphpOi	New report from DOJ amp DHS shows that nearly 3 in 4 individuals convicted of terrorismrelated charges are foreignb 	0.11818181818181818	0.42727272727272725
482	482	Tue Jan 16 20:17:39 +0000 2018	55546	9820	Today, it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! https://t.co/TerYFZViax	Today it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the WhiteHouse 	0.8	0.9
483	483	Tue Jan 16 19:43:32 +0000 2018	73202	19283	“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day” https://t.co/bD3R2dJfyp	President Donald J Trump Proclaims January 16 2018 as Religious Freedom Day 	0.0	0.25
484	484	Tue Jan 16 14:30:00 +0000 2018	112129	27685	Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8	Unemployment for Black Americans is the lowest ever recorded Trump approval ratings with Black Americans has doubl 	-0.16666666666666666	0.43333333333333335
485	485	Tue Jan 16 14:24:40 +0000 2018	72419	16001	“90% of Trump 2017 news coverage was negative” -and much of it contrived!@foxandfriends	90 of Trump 2017 news coverage was negative and much of it contrivedfoxandfriends	-0.04999999999999999	0.30000000000000004
486	486	Tue Jan 16 14:19:46 +0000 2018	110389	25961	Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news, but r… https://t.co/8kZJQ8SQZe	Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news but r 	0.16666666666666666	0.65
