	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	date	likes	retweets	text	filtered_text	polarity	subjectivity
56	56	56	56	56	56	56	56	56	56	Tue Apr 10 20:02:28 +0000 2018	0	0	A group of technologists and human rights experts have developed a Security Pledge — a set of principles that tech… https://t.co/sl5BMekqfZ	a group of technologists and human right experts have develop a security pledge a set of principles that tech	0.14285714285714285	0.31785714285714284
57	57	57	57	57	57	57	57	57	57	Tue Apr 10 20:02:28 +0000 2018	0	0	@AustenAllred Guns included.	austenallred guns include	0.0	0.0
58	58	58	58	58	58	58	58	58	58	Tue Apr 10 20:02:28 +0000 2018	0	0	RT @freewheelinfzjr: @LondonLova @realDonaldTrump Where are you? Londonistan? Took the cops guns? Do they have sticks? Now taking all knive…	freewheelinfzjr londonlova realdonaldtrump where be you londonistan took the cop gun do they have stick now take all knive	0.0	0.0
59	59	59	59	59	59	59	59	59	59	Tue Apr 10 20:02:29 +0000 2018	0	0	RT @ZerlinaMaxwell: I have white men in my mentions right now arguing that I - as a black woman - don’t care about civil rights because I d…	zerlinamaxwell i have white men in my mention right now argue that i as a black woman dont care about civil right because i d	0.10119047619047619	0.3761904761904762
60	60	60	60	60	60	60	60	60	60	Tue Apr 10 20:02:29 +0000 2018	0	0	RT @shannonrwatts: “Sandy Hook exposed a gun culture in the throes of moral bankruptcy. It illustrated the gun movement's social compact: O…	shannonrwatts sandy hook expose a gun culture in the throes of moral bankruptcy it illustrate the gun movements social compact o	0.016666666666666666	0.15833333333333333
61	61	61	61	61	61	61	61	61	61	Tue Apr 10 20:02:29 +0000 2018	0	0	RT @GoDiegitoGo: If your girlfriend talks to you about her feelings and things she wants to work on and you think that’s her “complaining”,…	godiegitogo if your girlfriend talk to you about her feel and things she want to work on and you think thats her complain	0.0	0.0
62	62	62	62	62	62	62	62	62	62	Tue Apr 10 20:02:30 +0000 2018	0	0	"RT @sunbeltgirl: Being a gun owner is about protecting the most precious thing there is, LIFE! 
It isn't about love of guns more than child…"	sunbeltgirl being a gun owner be about protect the most precious thing there be life it isnt about love of gun more than child	0.5	0.65
63	63	63	63	63	63	63	63	63	63	Tue Apr 10 20:02:30 +0000 2018	0	0	#CJP_ActionAgainstKE #JI_AntiVirus4KE https://t.co/ip4YPZiFk7	cjp_actionagainstke ji_antivirus4ke	0.0	0.0
64	64	64	64	64	64	64	64	64	64	Tue Apr 10 20:02:30 +0000 2018	0	0	@_Zeets Copa90 does more interesting videos IN A LITERAL WEEK than Fox has done this year with the most expensive b… https://t.co/WWyT9IUKDr	_zeets copa90 do more interest videos in a literal week than fox have do this year with the most expensive b	0.16666666666666666	0.5666666666666667
65	65	65	65	65	65	65	65	65	65	Tue Apr 10 20:02:30 +0000 2018	0	0	"RT @carrieksada: When I see Michael Cohen’s civil rights being trampled alongside Trump’s, I see what a sham the ACLU really is. 
Alan Ders…"	carrieksada when i see michael cohens civil right be trample alongside trumps i see what a sham the aclu really be alan ders	0.09523809523809523	0.3452380952380952
66	66	66	66	66	66	66	66	66	66	Tue Apr 10 20:02:30 +0000 2018	0	0	"@alex_t992 @NoLore What you do in private in none of your employers business. 
That's called freedom of expression,… https://t.co/qIesWOhV3y"	alex_t992 nolore what you do in private in none of your employers business thats call freedom of expression	0.0	0.375
67	67	67	67	67	67	67	67	67	67	Tue Apr 10 20:02:31 +0000 2018	0	0	"RT @IvanTrumpovic1: The people in blue want a revolution 
The people in red have 95% of the guns. They will need more than luck with the re…"	ivantrumpovic1 the people in blue want a revolution the people in red have 95 of the gun they will need more than luck with the re	0.16666666666666666	0.19999999999999998
68	68	68	68	68	68	68	68	68	68	Tue Apr 10 20:02:31 +0000 2018	0	0	"@CarlosAMontaner @firmaspress .
Queso Suizo

Con muchos agujeros de gusanos y huele maluco

Así deja Santos a Colom… https://t.co/O6z34I3icM"	carlosamontaner firmaspress queso suizocon muchos agujeros de gusanos y huele malucoasí deja santos a colom	0.0	0.0
69	69	69	69	69	69	69	69	69	69	Tue Apr 10 20:02:31 +0000 2018	0	0	@dronkus23 the European convention on human rights entitles me to say you are better than cats sorry if you dont like that	dronkus23 the european convention on human right entitle me to say you be better than cat sorry if you dont like that	0.05714285714285714	0.42714285714285716
70	70	70	70	70	70	70	70	70	70	Tue Apr 10 20:02:31 +0000 2018	0	0	RT @FishcoinNetwork: Check out @Eachmile partner @mark4sdgs's @Medium about discussing @FishcoinNetwork in the context #Governance at #SXSW…	fishcoinnetwork check out eachmile partner mark4sdgss medium about discuss fishcoinnetwork in the context governance at sxsw	0.0	0.0
71	71	71	71	71	71	71	71	71	71	Tue Apr 10 20:02:32 +0000 2018	0	0	RT @brunosunshine: There goes our 4th amendment rights https://t.co/W7eKzIgTEO	brunosunshine there go our 4th amendment right	0.2857142857142857	0.5357142857142857
72	72	72	72	72	72	72	72	72	72	Tue Apr 10 20:02:32 +0000 2018	0	0	"RT @MaqsoodUn: #CJP_ActionAgainstKE
#BREAKING: Judiciary will intervene if there is violation in basic human rights, says #CJP
Sir what abo…"	maqsoodun cjp_actionagainstkebreaking judiciary will intervene if there be violation in basic human right say cjpsir what abo	0.09523809523809523	0.25357142857142856
73	73	73	73	73	73	73	73	73	73	Tue Apr 10 20:02:32 +0000 2018	0	0	"RT @The_UnSilent_: Dear Conservatives

You elected a demagogue, because you’re afraid. Afraid of gay people, afraid of black &amp; brown people…"	the_unsilent_ dear conservativesyou elect a demagogue because youre afraid afraid of gay people afraid of black amp brown people	-0.12499999999999999	0.7694444444444445
74	74	74	74	74	74	74	74	74	74	Tue Apr 10 20:02:32 +0000 2018	0	0	RT @SaucercrabZero: That's impossible I was assured that making guns is incredibly complex and hard. I was assured of this. https://t.co/pS…	saucercrabzero thats impossible i be assure that make gun be incredibly complex and hard i be assure of this	-0.41944444444444445	0.6472222222222221
75	75	75	75	75	75	75	75	75	75	Tue Apr 10 20:02:32 +0000 2018	0	0	Was really hoping this WW2 updated added suppressors to every gun not just sub machine guns :///	was really hop this ww2 update add suppressors to every gun not just sub machine gun	0.2	0.2
